char,pron
烏布,vu1 bu4
面衫,mien4 sam1
恤衫,sut6 sam1
底衫,dai3 sam1
襖婆,au3 po2
背搭,boi4 dap5
大褸,tai4 leu1
冷衫,lang1 sam1
被肉,pi1 ngiuk5
背心,boi4 sim1
短褲,don3 fu4
褲腳,fu4 giok5
褲襠,fu4 long4
開襠褲,hoi1 long4 fu4
密襠褲,mit6 long4 fu4
衫袖,sam1 ciu4
衫領,sam1 liang1
衫袋,sam1 toi4
啪扭,bak6 leu3
紐仔,leu3 zai3
結針,giet5 zim1
帽仔,mau4 zai3
草帽,cau3 mau4
拖鞋,to1 hai3
水鞋,sui3 hai2
鞋底,hai2 dai3
手襪,siu3 mat5
手巾仔,siu3 gin1 zai3
頸巾,giang3 gin1
口水枷,heu3 sui3 ga1
圍裙,vui2 sin1
肚搭,du3 dap5
尿片,ngiau4 pien4
燙斗,tong4 deu3
麵粉,mien4 fun3
舊飯,kiu4 fan4
粥飲,zuk5 yim3
飯癩,fan4 lat5
食飯,sit6 fan4
食茶,sit6 ca2
食酒,sit6 ziu3
米酒,mi3 ziu3
黃酒,vong2 ziu3
糯米酒,lo4 mi3 ziu3
酒娘,ziu3 ngiong2
糟嫲,zau1 ma2
茶葉茶,ca2 yap6 ca2
煙仔,yen1 zai3
食煙,sit6 yen1
煙灰,yen1 foi1
食朝,sit6 zau1
食晝,sit6 ziu4
食夜,sit6 ya4
舀飯,yau3 fan4
豬肉,zu1 ngiuk5
瘦肉,seu4 ngiuk5
精豬肉,ziang1 zu1 ngiuk5
臘肉,lap6 ngiuk5
豬蹄,zu1 tai2
豬肝,zu1 gon1
豬舌嫲,zu1 set6 ma2
豬紅,zu1 fung2
豬旺,zu1 vong4
下水,ha4 sui3
夾菜,gap5 coi4
淘飯,tau2 fan4
豆腐乾,teu4 fu4 gon1
豆腐,teu4 fu4
豆腐花,teu4 fu4 fa1
豆腐霉,teu4 fu4 moi1
萊絲仔,loi2 su1 zai3
打胲約,da3 goi1 yok5
轉嗉,zon3 sio4
打呃督,da3 et6 duk6
雪糕,siet5 gau2
雪條,siet5 tiau2
饅頭,man2 teu2
餃子,gau3 zu3
雲吞,vun2 tun1
雪丸板,siet5 yen2 ban3
糖丸,tong2 yen2
餈粑,ci2 ba1
裹粽,go3 zung4
小口,siau3 heu3
茶果,ca2 go3
點心,diam3 sim1
宵夜,siau1 ya4
配料,pui4 liau4
豬油,zu1 yiu2
麻油,ma2 yiu2
黃糖,vong2 tong2
白糖,pak6 tong2
麻糖,ma2 tong2
糖仔,tong2 zai3
豉油,si4 yiu2
蜜糖,mit6 tong2
