char,pron
棄將,hi4 ziong4
好燦爛,hau3 can3 lan4
有啤,yiu1 pia1
擁兵自重,yung3 bin1 cu4 cung4
月球車,ngiet6 kiu2 ca1
裏便,li1 pien4
藺相如,lin4 siong1 yi2
兩岸四地,liong1 ngan4 si4 ti4
樂善好施,lok6 sen4 hau4 si1
無從入手,vu2 cung2 ngip6 siu3
泡菜仔,pau1 coi4 zai3
三疊紀,sam1 tiap6 gi3
十三萬,sip6 sam1 man4
少少怕,sau3 sau3 pa4
聽診,tang4 zin3
畫地為牢,vak6 ti4 vui2 lau2
遮打道,za1 da3 tau4
借財仔,zia4 coi2 zai3
正化,zin4 fa4
揠苗助長,yet5 miau2 co4 zong3
打春,da3 cun1
泛泛之輩,fam4 fam4 zu1 bui4
解送,gai4 sung4
舊相好,kiu4 siong1 hau3
勸解,kien4 gai3
一相情願,yit5 siong1 cin2 ngien4
理學士,li1 hok6 su4
面積少,mien4 zit5 sau3
冇景,mau2 gin3
爬格仔,pa2 gak5 zai3
三十六計,sam1 sip6 luk5 ge4
三支香,sam1 zi1 hiong1
思覺,su1 gok5
紹興酒,sau2 hin4 ziu3
太晚,tai4 man1
聽講過,tang4 gong3 go4
八仙嶺,bat5 sien1 liang1
啤一啤,bia1 yit5 bia1
背脊骨,boi4 zit5 gut5
大腳解圍,tai4 giok5 gai3 vui2
家弟,ga1 ti4
觀察人士,gon1 cat5 ngin2 su4
行為準則,hang2 vui2 zun3 zet5
核融合,het6 yung2 hap6
核力,het6 lit6
容唔容易,yung2 m1 yung2 yi4
月偏食,ngiet6 pien1 sit6
理解錯,li1 gai3 co4
兩三間,liong1 sam1 gan1
三段論,sam1 ton4 lun4
社區中心,sa1 ki1 zung1 sim1
爭凳仔,zang1 den4 zai3
撞臉,cong4 liam3
轉譯,zon3 yit6
呀爸,a2 ba1
打鑊甘,da3 vok6 gam1
居無定所,gi1 vu2 tin4 so3
乾柴,gon1 cai2
含水量,ham2 sui3 liong4
好好醜醜,hau3 hau3 ciu3 ciu3
二惡英,ngi4 ok5 yin1
李三腳,li3 sam1 giok5
棉褸,mien2 leu1
平行宇宙,pin2 hang2 yi3 ciu4
十六強,sip6 luk5 kiong2
死裏逃生,si3 li1 tau2 sang1
黃成智,vong2 sin2 zi4
走調,zeu3 tiau4
差役,cai1 yit6
取長補短,ci3 cong2 bu3 don3
登打士街,den1 da3 su4 gai1
地頭蛇,ti4 teu2 sa2
讀熟,tuk6 suk6
悔不當初,fui4 but5 dong1 co1
繼後香燈,gi4 heu4 hiong1 den1
驚西,giang1 si1
講就易,gong3 ciu4 yi4
冠病,gon1 piang4
限時限刻,han4 si2 han4 ket5
後味,heu4 mui4
好唔好笑,hau3 m1 hau3 siau4
日經平均,ngit5 gin1 pin2 giun1
樂瞳,lok6 tung2
偽命題,ngui4 min4 ti2
三粒花,sam1 lip5 fa1
識飲識食,sit5 yim3 sit5 sit6
算命佬,son4 miang4 lau3
調笑,tiau2 siau4
土質,tu3 zit5
畫匠,fa4 siong4
嫉惡如仇,cit6 ok5 yi2 siu2
白菜仔,pak6 coi4 zai3
邊頂,bien1 dang3
長釘,cong2 dang1
打柒佢,da3 cit5 gi2
淡藍色,tam4 lam2 set5
寬宏大量,kon1 fen2 tai4 liong4
縫補,fung2 bu3
經度,gin1 tu4
觀察入微,gon1 cat5 ngip6 mi2
過從甚密,go4 cung2 sim4 mit6
行善積德,hang2 sen4 zit5 det5
現場觀眾,hien4 cong2 gon1 zung4
肉便器,ngiuk5 pien4 hi4
如非必要,yi2 fui1 bit5 yau4
雨後春筍,yi3 heu4 cun1 sun3
奇人異士,ki2 ngin2 yi4 su4
靈風,lin2 fung1
樂湖,lok6 fu2
慕名而來,mu4 min2 yi2 loi2
忤逆仔,ng3 ngiak6 zai3
三次元,sam1 cu4 ngien2
省府,sen3 fu3
西紅柿,si1 fung2 se2
實驗學校,sit6 ngiam4 hok6 gau3
成群,sin2 kiun2
傻更,so2 gang1
喪服,song1 fuk6
委以重任,vui1 yi1 cung4 ngim4
張三李四,zong1 sam1 li3 si4
百密一疏,bak5 mit6 yit5 so1
白吃,pak6 ket5
傳理,con2 li1
點算好呢,diam3 son4 hau3 le1
頂頸,din3 giang3
煩惱絲,fan2 lau3 su1
伽瑪射線,ga1 ma1 sa4 sien4
雞嶺,gai1 liang1
禁見,gim4 gien4
僅作參考,giun3 zok5 cam1 kau3
九間,giu3 gan1
學師仔,hok6 su1 zai3
兩串,liong1 con4
孖鋪,ma1 pu1
無要,vu2 yau4
難友,lan4 yiu1
安樂椅,on1 lok6 yi3
三白,sam1 pak6
十三太保,sip6 sam1 tai4 bau3
承傳,sin2 con2
斷供,ton1 giung1
緩急輕重,fon4 gip5 kiang1 cung1
仔隧,zai3 sui4
精華素,zin1 fa2 su4
左後方,zo3 heu4 fong1
俾着,bi1 cok6
曾經滄海,cen2 gin1 cong1 hoi3
坐冷板凳,co1 lang1 ban3 den4
打胎,da3 toi1
大吃大喝,tai4 ket5 tai4 hot5
大蛇屙尿,tai4 sa2 o1 ngiau4
德輔道西,det5 pu3 tau4 si1
德輔道中,det5 pu3 tau4 zung1
頂用,din3 yung4
九重天,giu3 cung2 tien1
香蕉仔,hiong1 ziau1 zai3
一舉成名,yit5 gi3 sin2 min2
二重奏,ngi4 cung2 zeu4
搖下搖下,yau2 ha4 yau2 ha4
卵生,lon3 sang1
孖蒸,ma1 zin1
鋪仔,pu4 zai3
沙煲兄弟,sa1 bau1 hiung1 ti4
心驚膽顫,sim1 giang1 dam3 zien1
豉油撈飯,si4 yiu2 lau1 fan4
渾然天成,fun2 yen2 tien1 sin2
唱淡,cong4 tam1
長天,cong2 tien1
沖個靚涼,cung1 go4 liang4 liong2
從實招來,cung2 sit6 zau1 loi2
頂燈,dang3 den1
都中意,du1 zung1 yi4
富貴榮華,fu4 gui4 yin2 fa2
禁夜,gim4 ya4
荷塘,ho2 tong2
好唔好飲,hau3 m1 hau3 yim3
連卡佛,lien2 ka1 fut6
另當別論,lang4 dong4 piet6 lun4
六打,luk5 da1
磨石,mo2 sak6
無得解,vu2 det5 gai3
臣屬,sin2 suk6
蛇尾,sa2 mui1
水上樂園,sui3 song4 lok6 yen2
食過夜粥,sit6 go4 ya4 zuk5
少見多怪,sau3 gien4 do1 gai4
質樸,zit5 pok5
飽讀詩書,bau3 tuk6 si1 su1
比時間,bi3 si2 gan4
車蓋,ca1 goi4
此起彼伏,cu3 hi3 bi3 fuk6
青竹蛇,ciang1 zuk5 sa2
大阪燒,tai4 ban3 sau1
大馬士革,tai4 ma1 su4 gak5
金撈,gim1 lau1
好市多,hau3 si1 do1
人傑地靈,ngin2 kiet6 ti4 lin2
良心話,liong2 sim1 va4
孖指,ma1 zi3
埋便,mai2 pien4
三點水,sam1 diam3 sui3
三十九,sam1 sip6 giu3
三題,sam1 ti2
十字車,sip6 su4 ca1
四川省,si4 con1 sen3
成棚人,sang2 pang2 ngin2
小玩意,siau3 van4 yi4
天打雷劈,tien1 da3 lui2 piak5
聽死,tin4 si3
台山話,toi2 san1 va4
置身其中,zi4 sin1 ki2 zung1
整理下,zin3 li1 ha4
鏟雪車,can3 siet5 ca1
青嶼幹線,ciang1 si4 gon4 sien4
重算,cung2 son4
重武器,cung1 vu1 hi4
重砲,cung1 pau4
忖度,cun3 tok6
打蟲,da3 cung2
當時得令,dong1 si2 det5 lin4
倒夜香,dau3 ya4 hiong1
校驗,gau4 ngiam4
堅尼地道,gien1 li2 ti4 tau4
觀塘繞道,gon1 tong2 ngiau3 tau4
公仔紙,gung1 zai3 zi3
好大件,hau3 tai4 kien4
好聽點,hau3 tang4 diam3
一百三十,yit5 bak5 sam1 sip6
蛇餅,yi4 biang3
羅冠聰,lo2 gon4 cung1
三跪九叩,sam1 kui3 giu3 keu4
三尾,sam1 mui1
垂涎欲滴,sui2 yen2 yuk6 tit6
瑞士人,sui4 su4 ngin2
屎蜢,si3 mang3
鬆泡泡,sung1 pau1 pau1
圍讀,vui2 tuk6
紫河車,zu3 ho2 ca1
積勞成疾,zit5 lau2 sin2 cit6
將種,ziong4 zung3
做邊行,zo4 bien1 hang2
畢打街,bit5 da3 gai1
不勝其煩,but5 sin1 ki2 fan2
悲觀主義,bui1 gon1 zu3 ngi4
背闊肌,boi4 fat5 gi1
朝鮮人,cau2 sien1 ngin2
彩虹道,cai3 fung2 tau4
傳輸線,con2 su1 sien4
單只,dan1 zit5
狄易達,tit6 yi4 tat6
杜莎夫人,tu4 sa1 fu1 ngin2
蝮蛇,fuk5 sa2
賈伯斯,ga3 bak5 su1
干諾道西,gon1 lok5 tau4 si1
逆命,ngiak6 min4
廖長江,liau4 cong2 gong1
唔塞,m1 set5
晚頭,man1 teu2
咪書,mai4 su1
五雷轟頂,ng3 lui2 gen1 dang3
安華,on1 fa2
三碗,sam1 von3
四行,si4 hong2
小氣簿,siau3 hi4 pu1
華約,fa2 yok5
為富不仁,vui2 fu4 but5 yin2
魂靈,fun2 lin2
渣打銀行,za1 da3 ngiun2 hong2
正唔正確,zin4 m1 zin4 kok5
張震,zong1 zin3
鞭長莫及,bien1 cong2 mok6 kip6
漆咸道南,cit5 ham2 tau4 lam2
從頭到腳,cung2 teu2 dau4 giok5
彈射出,tan2 sa4 cut5
兼差,giam1 cai1
關咪,gan1 mai4
學行車,hok6 hang2 ca1
役使,yit6 su3
楊樂文,yong2 lok6 vun2
靈恩派,lin2 en1 pai4
撈味,lau1 mui4
玫瑰露,moi2 gui4 lu4
顏卓靈,ngan2 zok5 lin2
使役,si3 yit6
史傳,su3 con4
華爾茲,fa2 li3 zu1
正街,zin4 gai1
證監,zin4 gam1
張冠李戴,zong1 gon1 li3 dai4
被侵害,pi4 cim1 hoi4
巡行,sun2 hang2
讀友,tuk6 yiu1
反射鏡,fan3 sa4 giang4
放射源,fong4 sa4 ngien2
更之,gen4 zu1
剛度,gong1 tu4
高瘦平,gau1 seu4 pin2
以少勝多,yi1 sau3 sin4 do1
應接不暇,yin4 ziap5 but5 ha4
要唔要好,yau4 m1 yau4 hau3
吸經,kip5 gin1
兩手準備,liong1 siu3 zun3 pi4
勞碌命,lau2 luk5 miang4
孟晚舟,men4 man1 ziu1
眉間,mi2 gan1
滅種,miet6 zung3
惡兆,ok5 cau4
三劃,sam1 vak6
腎小球,sin4 siau3 kiu2
十打,sip6 da1
是拉差,si4 lai1 cai1
士紳化,su4 sin1 fa4
食食下,sit6 sit6 ha4
少爺仔,sau4 ya2 zai3
相對主義,siong1 dui4 zu3 ngi4
停車位置,tin2 ca1 vui4 zi4
陶笛,tau2 tak6
正當防衞,zin4 dong4 fong2 vui4
捶打,cui2 da3
充好,cung1 hau3
打字快,da3 su4 kai4
打主意,da3 zu3 yi4
大圈仔,tai4 kien1 zai3
對頭車,dui4 teu2 ca1
蜂毒,fung1 tuk6
經綸,gin1 lun2
歸經,gui1 gin1
鹹濕笑話,ham2 sip5 siau4 va4
好好聲,hau3 hau3 sang1
約會對象,yok5 fui4 dui4 siong4
六間,luk5 gan1
龍匯道,lung2 fui4 tau4
弄下,lung4 ha4
萬象更新,man4 siong4 gang1 sin1
無記名,vu2 gi4 min2
怕醜草,pa4 ciu3 cau3
三陪,sam1 pui2
山地車,san1 ti4 ca1
山東省,san1 dung1 sen3
十道,sip6 tau4
守靈,siu3 lin2
水平面,sui3 pin2 mien4
唐話,tong2 va4
長幼有序,zong3 yiu4 yiu1 si4
賬簿,zong4 pu1
中板,zung1 ban3
逼良為娼,bit5 liong2 vui2 cong1
茶果嶺,ca2 go3 liang1
坐霸王車,co1 ba4 vong2 ca1
德士古道,det5 su4 gu3 tau4
對仗,dui4 cong4
點解依家,diam3 gai3 yi1 ga1
碟仔,tiap6 zai3
番攤,fan1 tan1
方興未艾,fong1 hin1 vui4 ngioi4
歡樂卡,fon1 lok6 kat6
校色,gau4 set5
堅道,gien1 tau4
軍機處,giun1 gi1 cu4
過載,go4 zoi4
廣華街,gong3 fa2 gai1
行後門,hang2 heu4 mun2
刻毒,ket5 tuk6
核戰爭,het6 zien4 zang1
一兩格,yit5 liong1 gak5
企得正,ki1 det5 zang4
林定國,lim2 tin4 get5
忙裏偷閒,mong2 li1 teu1 han2
難捨難離,lan2 sa3 lan2 li2
心驚膽戰,sim1 giang1 dam3 zien4
聖荷西,sin4 ho2 si1
賞心樂事,song3 sim1 lok6 su4
數道,su4 tau4
彈指之間,tan2 zi3 zu1 gan1
通靈板,tung1 lin2 ban3
環保大道,van2 bau3 tai4 tau4
黃臉婆,vong2 liam3 po2
湖南省,fu2 lam2 sen3
震騰騰,zin3 ten2 ten2
走為上,zeu3 vui2 song4
着意,cok6 yi4
竹葉青,zuk5 yap6 ciang1
中挺,zung1 tin3
撐場面,cang1 cong2 mien4
扯平,ca3 pin2
滴水穿石,tit6 sui3 con1 sak6
海南省,hoi3 lam2 sen3
好耳,hau3 ngi3
人道危機,ngin2 tau4 ngui2 gi1
以攻為守,yi1 gung1 vui2 siu3
藥石無靈,yok6 sak6 vu2 lin2
林正財,lim2 zin4 coi2
遼寧省,liau2 len2 sen3
兩筆,liong1 bit5
眉宇間,mi2 yi3 gan1
芒種,mong2 zung3
拋射,pau1 sa4
師出有名,su1 cut5 yiu1 min2
食具,sit6 ki3
小瀝源,siau3 lit6 ngien2
疏堂,so1 tong2
相得益彰,siong1 det5 yit5 zong1
剃度,tai4 tu4
拖好,to1 hau3
户頭,fu4 teu2
爭住食,zang1 cu4 sit6
包伙食,bau1 fo3 sit6
比畫,bi3 vak6
青黛,ciang1 toi4
朝前,cau2 cien2
朝氣蓬勃,cau2 hi4 pung2 put6
長生不死,cong2 sang1 but5 si3
重門深鎖,cung2 mun2 cim1 so3
打尿震,da3 ngiau4 zin3
大有可為,tai4 yiu1 ko3 vui2
對簿,dui4 pu4
點講都好,diam3 gong3 du1 hau3
點三八,diam3 sam1 bat5
俯卧撐,fu3 ngo4 cang1
間選,gan4 sien3
驚錯,gin1 co4
經貿辦,gin1 meu3 pan4
功敗垂成,gung1 pai4 sui2 sin2
廣播道,gong3 bo4 tau4
行將就木,hang2 ziong1 ciu4 muk5
喜聞樂見,hi3 vun2 lok6 gien4
許正宇,hi3 zin4 yi3
好逼人,hau3 bit5 ngin2
好人難做,hau3 ngin2 lan2 zo4
胸推,hiung1 tui1
引體上升,yin3 ti3 song4 sin1
一兩部,yit5 liong1 pu4
衣冠楚楚,yi1 gon1 co3 co3
蛇齋,yi4 zai1
應用物理,yin4 yung4 vut6 li1
靚爆鏡,liang4 bau4 giang4
量角器,liong2 gok5 hi4
咩嘅,me1 e4
難彈,lan2 tan2
拼裝,pin4 zong1
三百六十,sam1 bak5 luk5 sip6
三顆,sam1 ko3
三五成群,sam1 ng3 sin2 kiun2
食牛肉乾,sit6 ngiu2 ngiuk5 gon1
食住等,sit6 cu4 den3
少忽肉,sau3 fut5 ngiuk5
推心,tui1 sim1
華里,fa2 li1
毀譽參半,fui3 yi4 cam1 ban4
淨只,ciang4 zit5
不時不食,but5 si2 but5 sit6
查經,ca2 gin1
青年期,ciang1 ngien2 ki2
坐爆,co1 bau4
唱散,cong4 san3
打稿,da3 gau3
單撈,dan1 lau1
吊雞車,diau4 gai1 ca1
讀乜,tuk6 mak5
番邦,fan1 bong1
反射光,fan3 sa4 gong1
房中術,fong2 zung1 sut6
基道,gi1 tau4
軍火交易,giun1 fo3 gau1 yit6
好吃懶做,hau4 ket5 lan1 zo4
音效卡,yim1 hau4 kat6
一時半刻,yit5 si2 ban4 ket5
養樂多,yong1 lok6 do1
兩婆孫,liong1 po2 sun1
六種,luk5 zung3
孖四,ma1 si4
馬頭圍道,ma1 teu2 vui2 tau4
冇態,mau2 tai4
那行,la3 hong2
三蛇,sam1 sa2
收驚,siu1 giang1
天青石,tien1 ciang1 sak6
兔仔牙,tu4 zai3 nga2
為時未晚,vui2 si2 vui4 man1
王國興,vong2 get5 hin1
雜差,cap6 cai1
最後審判,zui4 heu4 sim3 pan4
裝備齊全,zong1 pi4 ce2 cien2
保管好,bau3 gon3 hau3
湊仔公,ceu4 zai3 gung1
倒裝句,dau3 zong1 gi4
番茄汁,fan1 kio2 zip5
間接證據,gan4 ziap5 zin4 gi4
交通銀行,gau1 tung1 ngiun2 hong2
禁行,gim4 hang2
禁止吸煙,gim4 zi3 kip5 yen1
共樂,kiung4 lok6
閒着,han2 cok6
響着,hiong3 cok6
好迷惘,hau3 mi2 miong3
二三線,ngi4 sam1 sien4
洋參,yong2 sem1
禁新,gim1 sin1
期中考,ki2 zung1 kau3
佢就要,gi2 ciu4 yau4
兩伙,liong1 fo3
兩三件,liong1 sam1 kien4
面凹,mien4 ngiap5
庖丁解牛,pau2 den1 gai3 ngiu2
平武,pin2 vu1
蒲崗村道,pu2 gong1 cun1 tau4
三團,sam1 ton2
腎石,sin4 sak6
食瓜,sit6 ga1
善長仁翁,sen4 zong3 yin2 vung1
少雲,sau3 yun2
喪葬,song1 zong4
歎為觀止,tan4 vui2 gon1 zi3
玩遍,van2 bien4
殞命,yun3 min4
執仔,zip5 zai3
轉門,zon4 mun2
辭行,cu2 hang2
青松,ciang1 cung2
請便,ciang3 pien4
重慶市,cung2 kin4 si1
儲户,su2 fu4
傳道書,con2 tau4 su1
打裂,da3 liet6
大使級,tai4 si4 kip5
大種,tai4 zung3
膽顫心驚,dam3 zien1 sim1 giang1
第二道,ti4 ngi4 tau4
定型水,tin4 hin2 sui3
當事國,dong1 su4 get5
檔仔,dong4 zai3
道喜,tau4 hi3
灰度,foi1 tu4
解理,gai3 li1
間中都會,gan4 zung1 du1 fui4
建設銀行,gien4 siet5 ngiun2 hong2
姑爺仔,gu1 ya2 zai3
公共電話,gung1 kiung4 tien4 va4
校褲,gau3 fu4
校醫,gau3 yi1
後枕,heu4 zim3
漢華,hon4 fa2
印刷量,yin4 sot5 liong4
印度薄餅,yin4 tu4 pok6 biang3
休旅車,hiu1 li3 ca1
兩爺孫,liong1 ya2 sun1
名賢,min2 hien2
牛仔褸,ngiu2 zai3 leu1
被卧,pi1 ngo4
鋪橋搭路,pu1 kiau2 dap5 lu4
濕度計,sip5 tu4 ge4
水靈靈,sui3 lin2 lin2
食食下飯,sit6 sit6 ha4 fan4
小三元,siau3 sam1 ngien2
添華道,tiam1 fa2 tau4
天滅中共,tien1 miet6 zung1 kiung4
穩操勝券,vun3 cau1 sin4 kien4
周華健,ziu1 fa2 kien4
正楷,zin4 kai3
中英數,zung1 yin1 su4
中衰,zung1 soi1
轉眼之間,zon3 ngan3 zu1 gan1
七日鮮,cit5 ngit5 sien1
出軌行為,cut5 gui3 hang2 vui2
青金石,ciang1 gim1 sak6
打定主意,da3 tin4 zu3 yi4
點好呢,diam3 hau3 le1
粉嶺公路,fun3 liang1 gung1 lu4
逢場作興,fung2 cong2 zok5 hin4
講閒話,gong3 han2 va4
行梯,hang2 toi1
好唔好味,hau3 m1 hau3 mui4
好塞,hau3 set5
一定中,yit5 tin4 zung1
揚長避短,yong2 cong2 pi4 don3
甩車,lot5 ca1
靈實,lin2 sit6
六分儀,luk5 fun4 ngi2
名落孫山,min2 lok6 sun1 san1
那番,la3 fan1
三皇五帝,sam1 fong2 ng3 di4
省招牌,sen3 zau1 pai2
勝利道,sin4 li4 tau4
喪家之犬,song4 ga1 zu1 kien3
醍醐灌頂,ti2 fu2 gon4 dang3
透明質酸,teu4 min2 zit5 son1
推己及人,tui1 gi3 kip6 ngin2
彎度,van1 tu4
鐫刻,zien1 ket5
陳腎,cin2 kin1
長平之戰,cong2 pin2 zu1 zien4
單極,dan1 kit6
搭上搭,dap5 song4 dap5
第三隻腳,ti4 sam1 zak5 giok5
頂死,din3 si3
倒豎葱,dau3 su4 cung1
非核化,fui1 het6 fa4
乾嘔,gon1 iu3
乾電池,gon1 tien4 ci2
乾凍,gon1 dung4
高嶺土,gau1 liang3 tu3
國家制度,get5 ga1 zi4 tu4
紅柿,fung2 se2
血腥瑪麗,hiet5 siang1 ma1 li4
一路平安,yit5 lu4 pin2 on1
一線之差,yit5 sien4 zu1 ca1
尤為,yiu2 vui4
有味笑話,yiu1 mui4 siau4 va4
易彎,yi4 van1
賢士,hien2 su4
漁夫褸,ng2 fu1 leu1
卡冚卡,kat6 kiem2 kat6
強加於人,kiong2 ga1 yi1 ngin2
兩宋,liong1 sung4
撈過界,lau1 go4 gai4
撈亂骨頭,lau1 lon4 gut5 teu2
孖埋,ma1 mai2
孖裝,ma1 zong1
未解之謎,vui4 gai3 zu1 mi2
母質,mu1 zit5
勾畫,geu1 vak6
年少有為,ngien2 sau4 yiu1 vui2
散毒,san4 tuk6
詩情畫意,si1 cin2 fa4 yi4
鮮奶油,sien1 lai1 yiu2
上頜,song4 hap6
推磨,tui1 mo2
推三推四,tui1 sam1 tui1 si4
百冇,bak5 mau2
不甘後人,but5 gam1 heu4 ngin2
不勝枚舉,but5 sin1 moi2 gi3
便盆,pien4 pun2
差估署,ca1 gu3 su4
錯解,co4 gai3
坐花廳,co1 fa1 tang1
速勝,suk5 sin4
充分考慮,cung1 fun4 kau3 li4
衝量,cung1 liong4
打跛腳,da3 bai1 giok5
搭便車,dap5 pien4 ca1
搭錯車,dap5 co4 ca1
倒落海,dau3 lok6 hoi3
福卡,fuk5 ka1
間歇訓練,gan4 hiet5 hiun4 lien4
近臣,kiun4 sin2
講極都,gong3 kit6 du1
閨中密友,gui1 zung1 mit6 yiu1
行淫,hang2 yim2
紅顏薄命,fung2 ngan2 pok6 min4
右後方,yiu4 heu4 fong1
異質,yi4 zit5
乳臭未乾,yui3 ciu4 vui4 gon1
林士街,lim2 su4 gai1
領命,liang1 min4
兩枚,liong1 moi2
樂觀主義,lok6 gon1 zu3 ngi4
盧押道,lu2 ap5 tau4
硬核,ngang4 het6
外耳道,ngoi4 ngi3 tau4
三葉蟲,sam1 yap6 cung2
新高度,sin1 gau1 tu4
四十三,si4 sip6 sam1
聖路易,sin4 lu4 yit6
上等兵,song4 den3 bin1
數間,su4 gan1
選種,sien3 zung3
雪糕車,siet5 gau1 ca1
調養,tiau2 yong1
王永平,vong2 yun1 pin2
執拗,zip5 au4
正藍旗,zin4 lam2 ki2
朝三暮四,zau1 sam1 mu4 si4
災情慘重,zai1 cin2 cam3 cung4
作壁上觀,zok5 biak5 song4 gon1
轉臉,zon3 liam3
百屌成材,bak5 diau3 sin2 coi2
啤機,bia1 gi1
邪魔外道,sia2 mo2 ngoi4 tau4
初戀感覺,co1 lien4 gam3 gok5
坐不住,co1 but5 cu4
長班,cong2 ban1
長庚,cong2 gang1
長散,cong2 san3
道家思想,tau4 ga1 su1 siong3
快過打針,kai4 go4 da3 zim1
翻番,fan1 fan1
非分之想,fui1 fun4 zu1 siong3
監察院長,gam1 cat5 yen4 zong3
間接選舉,gan4 ziap5 sien3 gi3
幾微,gi1 mi2
極超,kit6 cau1
經幡,gin1 fan1
港灣道,gong3 van1 tau4
行色匆匆,hang2 set5 cung1 cung1
後燈,heu4 den1
稀土金屬,hi1 tu3 gim1 suk6
去乜,hi4 mak5
好好飲,hau3 hau3 yim3
一段仔,yit5 ton4 zai3
凝練,ngien2 lien4
雍容華貴,yung1 yung2 fa2 gui4
礦卡,kang3 kat6
拉掣,lai1 zi4
臉兒,liam3 yi2
連名帶姓,lien2 min2 dai4 siang4
露兩點,lu4 liong1 diam3
默默耕耘,met6 met6 gang1 yun2
文學士,vun2 hok6 su4
問下人,mun4 ha4 ngin2
未成年者,vui4 sin2 ngien2 za3
名噪一時,min2 cau4 yit5 si2
明升暗降,min2 sin1 am4 gong4
五道,ng3 tau4
三從四德,sam1 cung2 si4 det5
三拳,sam1 kien2
四道,si4 tau4
四海為家,si4 hoi3 vui2 ga1
太少人,tai4 sau3 ngin2
攤下,tan1 ha4
鐵籠車,tiet5 lung1 ca1
調色板,tiau2 set5 ban3
精華版,zin1 fa2 ban3
正朔,zin4 sok5
濁音,cuk6 yim1
敗絮其中,pai4 si4 ki2 zung1
俾卡,bi1 kat6
叉車,ca1 ca1
炒孖展,cau3 ma1 zien3
長袖善舞,cong2 ciu4 sen4 mu3
傳代,con2 toi4
傳流,con2 liu2
打道回府,da3 tau4 fui2 fu3
滴灌,tit6 gon4
頂峰,din3 fung1
當紮,dong1 zat5
峰迴路轉,fung1 fui2 lu4 zon3
加重語氣,ga1 cung1 ngi1 hi4
更慢,gen4 man4
極西,kit6 si1
警署警長,gin3 su4 gin3 zong3
改一下,goi3 yit5 ha4
古道熱腸,gu3 tau4 ngiet6 cong2
巧婦,kiau3 fu4
候補名單,heu4 bu3 min2 dan1
後秋,heu4 ciu1
去打機,hi4 da3 gi1
一大部分,yit5 tai4 pu4 fun4
有礙觀瞻,yiu1 ngoi4 gon1 zam1
卡賓槍,ka1 bin1 ciong1
卡窿,ka1 lung1
靈水,lin2 sui3
兩德,liong1 det5
磨拳,mo2 kien2
牙擦仔,nga2 cat5 zai3
惡狠,ok5 hen3
被尾,pi1 mui1
身材正,sin1 coi2 zang4
神經失常,sin2 gin1 sit5 song2
室樂,sit5 ngok6
仇外,siu2 ngoi4
射出界,sa4 cut5 gai4
死好命,si3 hau3 miang4
淅瀝,sit5 lit6
體重計,ti3 cung1 ge4
渣華道,za1 fa2 tau4
正房,zin4 fong2
莊士敦道,zong1 su4 dun1 tau4
濁酒,cuk6 ziu3
中心人物,zung1 sim1 ngin2 vut6
轉數錶,zon4 su4 biau1
八户,bat5 fu4
不惜一戰,but5 sit5 yit5 zien4
綁埋一齊,bong3 mai2 yit5 ce2
背字,poi4 su4
七分之一,cit5 fun4 zu1 yit5
青翠,ciang1 cui4
長頸龍,cong2 giang3 lung2
傳問,con2 mun4
打崩頭,da3 ben1 teu2
打韆鞦,da3 cien1 ciu1
打手指模,da3 siu3 zi3 mu2
打算點,da3 son4 diam3
鄧竟成,ten4 gin3 sin2
倒序,dau3 si4
反應器,fan3 yin4 hi4
伏地魔,fuk6 ti4 mo2
服務質量,fuk6 vu4 zit5 liong4
加冠,ga1 gon1
更次,gang1 cu4
感質,gam3 zit5
乾巴巴,gon1 ba1 ba1
高精度,gau1 zin1 tu4
公證處,gung1 zin4 cu4
克敵制勝,ket5 tit6 zi4 sin4
好耐好耐,hau3 lai4 hau3 lai4
好想嘔,hau3 siong3 iu3
一盅兩件,yit5 zung1 liong1 kien4
易拉罐,yi4 lai1 gon4
遠交近攻,yen3 gau1 kiun4 gung1
兩錢重,liong1 cien2 cung1
兩三張,liong1 sam1 zong1
咯吱,gok6 zi1
亂打亂撞,lon4 da3 lon4 cong4
晚秋,man1 ciu1
文人相輕,vun2 ngin2 siong1 kiang1
問候下,mun4 heu4 ha4
偶然間,ngeu3 yen2 gan1
平安神宮,pin2 on1 sin2 giung1
培道,pui2 tau4
盤錯,pan2 co4
十四行詩,sip6 si4 hong2 si1
收回成命,siu1 fui2 sin2 min4
寫紙仔,sia3 zi3 zai3
使節團,si3 ziet5 ton2
肆意妄為,si4 yi4 mong3 vui2
醒定定,siang3 tin4 tin4
聖士提反,sin4 su4 ti2 fan3
相襯,siong1 cin4
喪假,song1 ga3
數番,su4 fan1
舔食,tiam3 sit6
威重,vui1 cung4
輜重,zu1 cung1
姊弟戀,zi3 ti4 lien4
終端用户,zung1 don1 yung4 fu4
中堅力量,zung1 gien1 lit6 liong4
中聖,zung1 sin4
不三不四,but5 sam1 but5 si4
表裏不一,biau3 li1 but5 yit5
博士班,bok5 su4 ban1
七種,cit5 zung3
車鈴,ca1 lang2
扯後腿,ca3 heu4 tui3
赤道儀,cak5 tau4 ngi2
前車主,cien2 ca1 zu3
青山灣,ciang1 san1 van1
重鎚出擊,cung1 cui2 cut5 git5
廚師長,cu2 su1 zong3
儲藏量,su2 cong2 liong4
打火石,da3 fo3 sak6
讀書機,tuk6 su1 gi1
