char,canton,waitau,searchkey,hakka1,hakka2,Notes
趯,yök3,yök2,趯yök3,yok5,,
趲,zan2,zæng2,趲zan2,zan3,,
足,zuk1,zuk2,足zuk1,zuk5,,
趴,pa4,pa4,趴pa4,pa2,,
趵,pau3,pau1,趵pau3,bau4,,
趷,ngät6,ngäk6,趷ngät6,ngiet5,,
趹,küt3,kük2,趹küt3,giet5,,
趺,fu1,fu1,趺fu1,fu1,,
趾,zi2,zi2,趾zi2,zi3,,
趿,sap3,sap2,趿sap3,sap5,,
跁,pa4,pa4,跁pa4,pa2,,
跅,dok6,dok6,跅dok6,tok6,,
跆,toi4,töi4,跆toi4,toi2,,
跈,nin5,ning1,跈nin5,ngien3,,
跋,bät6,bäk6,跋bät6,pat6,,
跌,dit3,dik2,跌dit3,diet5,,
跍,fu1,fu1,跍fu1,ku1,,
跎,to4,to4,跎to4,to2,,
跏,ga1,ga1,跏ga1,ga1,,
跐,ci2,ci2,跐ci2,cu3,,
跑,pau2,pau2,跑pau2,pau1,,
跕,tip3,tip2,跕tip3,tiap5,,
跖,zek3,zek2,跖zek3,zak5,,
跗,fu1,fu1,跗fu1,fu1,,
跙,zöi1,zü1,跙zöi1,zu1,,
跚,san1,sæng1,跚san1,san1,,
跛,bäi1,bäi1,跛bäi1,bai1,,~腳(口語)
跛,bo2,bo2,跛bo2,bo3,,~子
距,köi5,kü1,距köi5,ki3,,
跟,gän1,gäng1,跟gän1,gen1,,
跠,yi4,yi4,跠yi4,yi2,,
跡,zik1,zäk2,跡zik1,ziak5,,
跢,dai3,dai1,跢dai3,doi1,,(跌倒)
跢,do1,do1,跢do1,do3,,(走路)
跣,sin3,sing1,跣sin3,sien3,,
跦,zü1,zü1,跦zü1,zu1,,
跧,cün4,cüng4,跧cün4,cien2,,
跨,kwa1,kwa1,跨kwa1,ka1,,
跪,gwäi6,gwäi6,跪gwäi6,kui3,,
跫,kung4,kung4,跫kung4,kiung2,,
跬,kwäi2,kwäi2 ,跬kwäi2,gui3,,
跮,zi3,zi1,跮zi3,zi4,,
路,lou6,lu6,路lou6,lu4,,
跲,gäp3,gäp2,跲gäp3,giap5,,
跳,tiu3,tiu1,跳tiu3,tiau2,,~來~去
跳,tiu3,tiu1,跳tiu3,tiau4,,"~繩, 三~跳"
跴,cai2,cai2,跴cai2,cai3,,
跺,do2,do2,跺do2,do3,,
跼,guk6,guk6,跼guk6,kiuk6,,
跽,gei6,gi6,跽gei6,ki3,,
跿,tou4,tu4,跿tou4,tu2,,
踆,sön1,säng1,踆sön1,zun1,,
踉,long4,long4,踉long4,long2,,~蹌
踉,löng4,löng4,踉löng4,liong2,,跳~
踊,yung2,yung2,踊yung2,yung3,,
踏,dap6,dap6,踏dap6,tap6,,
踐,cin5,cing1,踐cin5,cien4,,
踑,kei4,ki4,踑kei4,ki2,,
踒,wäi1,wäi1,踒wäi1,vui1,,
踔,cök3,cök2,踔cök3,zok5,,
踖,sik1,säk2,踖sik1,sit5,,
踘,guk1,guk2,踘guk1,kiuk5,,
踝,wa5,wa1,踝wa5,ka4,,
踞,göi3,gü1,踞göi3,gi4,,
踟,ci1,ci1,踟ci1,ci1,,
踡,kün4,küng4,踡kün4,kien2,,
踢,tek3,tek2,踢tek3,tiak5,,
踤,zöt1,zäk2,踤zöt1,cut5,,
踦,kei4,ki4,踦kei4,ki2,,
踧,cuk1,cuk2,踧cuk1,ciuk5,,
踩,cai2,cai2,踩cai2,cai3,,
踫,pung3,pung1,踫pung3,pung4,,
踰,yü4,yü4,踰yü4,yi2,,
踱,dok6,dok6,踱dok6,tok6,,
踳,cön2,cäng2,踳cön2,cun3,,
踴,yung2,yung2,踴yung2,yung3,,
踵,zung2,zung2,踵zung2,zung3,,
踶,täi4,täi4,踶täi4,ti2,,
踹,cai2,cai2,踹cai2,cai3,,
踼,tong3,tong1,踼tong3,tong4,,
踽,göi2,gü2,踽göi2,gi3,,
蹀,dip6,dip6,蹀dip6,tiap6,,
蹁,pin4,ping4,蹁pin4,pien2,,
蹂,yäu4,yäu4,蹂yäu4,yiu2,,
蹄,täi4,täi4,蹄täi4,tai2,,
蹅,za1,za1,蹅za1,za1,,
蹇,gin2,ging2,蹇gin2,kien3,,
蹈,dou6,däu6,蹈dou6,tau4,,
蹉,co4,co4,蹉co4,co2,,
蹊,häi4,häi4 ,蹊häi4,hi1,,
蹋,dap6,dap6,蹋dap6,tap6,,
蹌,cong1,cong1,蹌cong1,cong1,,
蹎,din1,ding1,蹎din1,dien1,,
蹐,zek3,zek2,蹐zek3,zit5,,
蹔,zim6,zim6,蹔zim6,ciam4,,
蹖,zung1,zung1,蹖zung1,zung1,,
蹙,cuk1,cuk2,蹙cuk1,cuk5,,
蹜,suk1,suk2,蹜suk1,suk5,,
蹝,sai2,sai2,蹝sai2,sai3,,
蹟,zik1,zäk2,蹟zik1,ziak5,,
蹠,zek3,zek2,蹠zek3,zak5,,
蹢,dik1,däk2,蹢dik1,dit5,,(獸蹄)
蹢,zak6,zæk6,蹢zak6,zak5,,~躅(猶豫)
蹣,mun4,mung4,蹣mun4,pan2,,
蹤,zung1,zung1,蹤zung1,zung1,,
蹦,bäng1,bäng1,蹦bäng1,ben1,,
蹧,zou1,zäu1,蹧zou1,zau1,,
蹩,bit6,bik6,蹩bit6,piet6,,
蹬,däng6,däng6,蹬däng6,ten4,,
蹭,cäng3,cäng1,蹭cäng3,cen4,,
蹯,fan4,fæng4,蹯fan4,fan2,,
蹲,zön1,zäng1,蹲zön1,cun2,,
蹴,cuk1,cuk2,蹴cuk1,cuk5,,
蹶,gwäi3,gwäi1,蹶gwäi3,gui4,,(動)
蹶,küt3,kük2,蹶küt3,kiet5,,一~不振
蹺,hiu1,hiu1,蹺hiu1,kiau1,,
蹻,giu2,giu2,蹻giu2,kiau1,,
蹼,buk1,buk2,蹼buk1,buk5,,
躁,cou3,cäu1,躁cou3,cau4,,
躂,dat6,dæk6,躂dat6,tat6,,
躄,pik1,päk2,躄pik1,pit5,,
躅,zuk1,zuk2,躅zuk1,cuk5,,
躇,cü4,cü4,躇cü4,cu2,,
躉,dän2,däng2,躉dän2,dun3,,
躊,cäu4,cäu4,躊cäu4,ciu2,,
躋,zäi3,zäi1,躋zäi3,zi4,,
躍,yök3,yök2,躍yök3,yok5,,
躐,lip6,lip6,躐lip6,liap6,,
躑,zak6,zæk6,躑zak6,cit5,,
躒,lik1,läk2,躒lik1,lit6,,
躓,zi3,zi1,躓zi3,zi4,,
躔,cin4,cing4,躔cin4,cien2,,
躕,cü4,cü4,躕cü4,cu2,,
躘,lung4,lung4,躘lung4,lung2,,
躚,cin1,cing1,躚cin1,cien1,,
躝,lan4,læng4,躝lan4,lan2,,
躞,sit3,sik2,躞sit3,siet5,,
躡,nip6,nip6,躡nip6,ngiap5,,
躦,zün1,züng1,躦zün1,zien1,,
躩,fok3,fok2,躩fok3,kiok5,,
躪,lön6,läng6,躪lön6,lin4,,
身,sän1,säng1,身sän1,sin1,,
躬,gung1,gung1,躬gung1,giung1,,
躭,dam1,dam1,躭dam1,dam1,,
躲,do2,do2,躲do2,do3,,
躺,tong2,tong2,躺tong2,tong3,,
軀,köi1,kü1,軀köi1,ki1,,
軉,yuk6,yuk6,軉yuk6,ngiuk6,,
車,ce1,ce1,車ce1,ca1,,汽~
車,göi1,gü1,車göi1,gi1,,~馬炮
軋,zat3,zæk2,軋zat3,zet5,,
軌,gwäi2,gwäi2,軌gwäi2,gui3,,
軍,gwän1,gwäng1,軍gwän1,giun1,,
軏,ngät6,ngäk6,軏ngät6,ngiet5,,
軑,to4,to4,軑to4,ti4,,
軒,hin1,hing1,軒hin1,hien1,,
軔,yän6,yäng6,軔yän6,ngiun3,,
軘,tün4,tüng4,軘tün4,tun2,,
軛,ak1,æk2,軛ak1,ak5,,
軜,nap6,nap6,軜nap6,lap6,,
軝,kei4,ki4,軝kei4,ki2,,
軟,yün5,yüng1,軟yün5,ngion1,,
軥,ngäu1,ngäu1,軥ngäu1,giu1,,
軫,cän2,cäng2,軫cän2,zin3,,
軵,yung5,yung1,軵yung5,yung3,,
軷,bät6,bäk6,軷bät6,pat6,,
軸,zuk6,zuk6,軸zuk6,cuk6,,
軹,zi2,zi2,軹zi2,zi3,,
軺,yiu4,yiu4,軺yiu4,yau2,,
軻,o1,o1,軻o1,ko1,,
軼,yät6,yäk6,軼yät6,yit6,,
軾,sik1,säk2,軾sik1,sit5,,
輀,yi4,yi4,輀yi4,yi2,,
輂,guk1,guk2,輂guk1,giuk5,,
較,gau3,gau1 ,較gau3,gau4,,
輅,lou6,lu6,輅lou6,lu4,,
輇,cün4,cüng4,輇cün4,cien2,,
輈,zäu1,zäu1,輈zäu1,ziu1,,
載,zoi2,zöi2,載zoi2,zai3,,一年半~
載,zoi3,zöi1,載zoi3,zoi4,,~客
輊,zi3,zi1,輊zi3,zi4,,
輒,zip3,zip2,輒zip3,ziap5,,
輓,wan5,wæng1,輓wan5,van3,,
輔,fu6,fu6,輔fu6,pu3,,
輕,heng1,häng1,輕heng1,kiang1,,~重
輕,hing1,häng1,輕hing1,kiang1,,~佻
輖,zäu1,zäu1,輖zäu1,ziu1,,
輗,yi4,yi4,輗yi4,ngi2,,
輘,ling4,läng4,輘ling4,lin2,,
輚,zan6,zæng6,輚zan6,can4,,
輛,löng5,löng1 ,輛löng5,liong3,,
輜,zi1,zi1,輜zi1,zu1,,
輝,fäi1,fäi1,輝fäi1,fui1,,
輞,wong2,wong2,輞wong2,vong3,,
輟,züt3,zük2,輟züt3,dot5,,
輠,gwo2,gwo2,輠gwo2,go3,,(器具名)
輠,wui6,wui6,輠wui6,fui4,,(轉動)
輤,sin3,sing1,輤sin3,cien4,,
輥,gwän2,gwäng2,輥gwän2,gun3,,
輦,lin5,ling1,輦lin5,lien3,,
輩,bui3,bui1,輩bui3,bui4,,
輪,lön4,läng4,輪lön4,lin2,,車~
輪,lön4,läng4,輪lön4,lun2,,~流
輬,löng4,löng4,輬löng4,liong2,,
輮,yäu5,yäu1,輮yäu5,yiu3,,
輯,cäp1,cäp2,輯cäp1,cip5,,
輳,cäu3,cäu1,輳cäu3,ciu4,,
輴,cön1,cäng1,輴cön1,cun1,,
輵,got3,gwuk2,輵got3,got5,,
輶,yäu4,yäu4,輶yäu4,yiu2,,
輸,sü1,sü1,輸sü1,su1,,
輹,fuk1,fuk2,輹fuk1,fuk5,,
輻,fuk1,fuk2,輻fuk1,fuk5,,
輾,zin2,zing2,輾zin2,zien3,,
輿,yü4,yü4,輿yü4,yi2,,
轂,guk1,guk2,轂guk1,guk5,,
轄,hät6,häk6,轄hät6,hat5,,
轅,yün4,yüng4,轅yün4,yen2,,
轆,luk1,luk2,轆luk1,luk6,,
轇,gau1,gau1,轇gau1,gau1,,
轉,zün2,züng2,轉zün2,zon3,,~運
轉,zün3,züng1,轉zün3,zon4,,~彎
轉,zün3,züng1,轉zün3,zon4,,~軸
轍,cit3,cik2,轍cit3,ciet5,,
轎,giu6,giu6,轎giu6,kiau4,,
轏,zan6,zæng6,轏zan6,can4,,
轐,buk6,buk6,轐buk6,puk6,,
轓,fan1,fæng1,轓fan1,fan1,,
轔,lön4,läng4,轔lön4,lin2,,
轕,got3,gwuk2,轕got3,got5,,
轗,häm2,häm2,轗häm2,kam3,,
轘,wan6,wæng6,轘wan6,van4,,
轞,ham5,ham1,轞ham5,gam4,,
轟,gwäng1,gwäng1,轟gwäng1,gen1,,
轡,bei3,bi1,轡bei3,bi4,,
轢,lik1,läk2,轢lik1,lit6,,
轣,lik6,läk6,轣lik6,lit6,,
轤,lou4,lu4,轤lou4,lu2,,
辛,sän1,säng1,辛sän1,sin1,,
辜,gwu1,gwu1,辜gwu1,ku1,,
辟,pik1,päk2,辟pik1,pit5,,
辣,lat6,læk6,辣lat6,lat6,,
辦,ban6,bæng6,辦ban6,pan4,,
辨,bin6,bing6,辨bin6,pien4,,
辭,ci4,ci4,辭ci4,cu2,,
辮,bin1,bing1,辮bin1,bien1,,
辯,bin6,bing6,辯bin6,pien4,,
辰,sän4,säng4,辰sän4,sin2,,
辱,yuk6,yuk6,辱yuk6,yuk6,,
農,nung4,nung4,農nung4,lung2,,
辵,cök3,cök2,辵cök3,ciok5,,
迂,yü1,yü1,迂yü1,yi1,,
迄,ngät6,ngäk6,迄ngät6,ngiet5,,
迅,sön3,säng1,迅sön3,sin4,,
迆,yi5,yi1,迆yi5,yi3,,
迋,wong6,wong6,迋wong6,vong4,,
迍,zön1,zäng1,迍zön1,zun1,,
迎,ying4,yäng4,迎ying4,ngiang2,,
近,gän6,gäng6,近gän6,kiun4,,~來
近,kän5,käng1,近kän5,kiun1,,住得~
迒,hong4,hong4,迒hong4,hong2,,
迓,nga5,nga1,迓nga5,nga3,,
返,fan2,fæng2,返fan2,fan3,,
迕,ng5,ng1,迕ng5,ng3,,
迢,tiu4,tiu4,迢tiu4,tiau2,,
迤,yi4,yi4,迤yi4,yi2,,
迥,gwing2,gwäng2,迥gwing2,gen3,,
迦,ga1,ga1,迦ga1,ga1,,
迨,toi5,töi1,迨toi5,tai4,,
迪,dik6,däk6,迪dik6,tit6,,
迫,bik1,bäk2,迫bik1,bet5,,
迭,dit3,dik2,迭dit3,diet5,,
述,söt6,säk6,述söt6,sut6,,
迴,wui4,wui4,迴wui4,fui2,,
迷,mäi4,mäi4,迷mäi4,mi2,,
迸,bing3,bäng1,迸bing3,bin4,,
迺,nai5,nai1,迺nai5,lai3,,
迻,yi4,yi4,迻yi4,yi2,,
追,zöi1,zöi1,追zöi1,zui1,,
退,töi3,töi1,退töi3,tui4,,
送,sung3,sung1,送sung3,sung4,,
适,kwut3,kwuk2,适kwut3,gat5,,(疾速)
适,sik1,säk2,适sik1,sit5,,(=適)
逃,tou4,täu4,逃tou4,tau2,,
逄,pong4,pong4,逄pong4,pong2,,
逅,häu6,häu6,逅häu6,hiu4,,
逆,yik6,yäk6,逆yik6,ngiak6,,
逋,pou4,pu4,逋pou4,pu2,,
逌,yäu4,yäu4,逌yäu4,yiu2,,
逍,siu1,siu1,逍siu1,siau1,,
透,täu3,täu1,透täu3,tiu4,,
逐,zuk6,zuk6,逐zuk6,cuk6,,
逑,käu4,käu4,逑käu4,kiu2,,
途,tou4,tu4,途tou4,tu2,,
逕,ging3,gäng1,逕ging3,gang4,,
逖,dik6,däk6,逖dik6,tit6,,
逗,däu6,däu6,逗däu6,tiu4,,
這,ze3,ze1,這ze3,za3,,
通,tung1,tung1,通tung1,tung1,,
逛,kwang3,kwæng1,逛kwang3,kong3,,
逝,säi6,säi6,逝säi6,si4,,
逞,cing2,cäng2,逞cing2,cin3,,
速,cuk1,cuk2,速cuk1,suk5,,
造,cou3,cäu1,造cou3,cau4,,
造,zou6,zäu6,造zou6,cau4,,
逡,zön1,zäng1,逡zön1,zun1,,
逢,fung4,fung4,逢fung4,fung2,,
連,lin4,ling4,連lin4,lien2,,
逭,wun6,wung6,逭wun6,fon3,,
逮,däi6,däi6,逮däi6,tai4,,
週,zäu1,zäu1,週zäu1,ziu1,,
進,zön3,zäng1,進zön3,zin4,,
逵,kwäi4,kwäi4,逵kwäi4,kui2,,
逶,wäi1,wäi1,逶wäi1,vui1,,
逸,yät6,yäk6,逸yät6,yit6,,
逼,bik1,bäk2,逼bik1,bit5,,
逾,yü6,yü6,逾yü6,yi4,,
逿,dong6,dong6,逿dong6,tong4,,~墬
逿,tong4,tong4,逿tong4,tong2,,迭~
遁,dön6,däng6,遁dön6,tun3,,
遂,söi6,söi6,遂söi6,sui4,,
遄,zün1,züng1,遄zün1,zon1,,
遇,yü6,yü6,遇yü6,ngi4,,
遊,yäu4,yäu4,遊yäu4,yiu2,,
運,wän6,wäng6,運wän6,yun4,,
遍,pin3,ping1,遍pin3,bien4,,
過,gwo3,gwo1,過gwo3,go4,,
遏,at3,æk2,遏at3,ot5,,
遐,ha4,ha4,遐ha4,ha2,,
遑,wong4,wong4,遑wong4,fong2,,
遒,cäu4,cäu4 ,遒cäu4,ciu2,,
道,dou3,däu1,道dou3,dau4,,知~
道,dou6,däu6,道dou6,tau4,,~路
達,dat6,dæk6,達dat6,tat6,,
違,wäi4,wäi4,違wäi4,vui2,,
遘,gäu3,gäu1,遘gäu3,giu4,,
遙,yiu4,yiu4,遙yiu4,yau2,,
遛,läu4,läu4,遛läu4,liu2,,
遜,sön3,säng1,遜sön3,sun4,,
遝,tap3,tap2,遝tap3,tap5,,
遞,däi6,däi6,遞däi6,ti4,,
遠,yün5,yüng1,遠yün5,yen3,,
遢,tap3,tap2,遢tap3,tap5,,
遣,hin2,hing2,遣hin2,kien3,,
遨,ngou4,ngäu4,遨ngou4,ngau2,,
適,sik1,säk2,適sik1,sit5,,
遭,zou1,zäu1,遭zou1,zau1,,
遮,ze1,ze1,遮ze1,za1,,
遯,dön6,däng6,遯dön6,tun3,,
遰,däi6,däi6,遰däi6,ti4,,
遲,ci4,ci4,遲ci4,ci2,,
遴,lön4,läng4,遴lön4,lin2,,
遵,zön1,zäng1,遵zön1,zun1,,
遶,yiu2,yiu2,遶yiu2,ngiau3,,
遷,cin1,cing1,遷cin1,cien1,,
選,sün2,süng2,選sün2,sien3,,
遹,yüt6,yük6,遹yüt6,yut6,,
遺,wäi4,wäi4,遺wäi4,vui2,,
遻,ng6,ng6,遻ng6,ngu4,,
遼,liu4,liu4,遼liu4,liau2,,
遽,göi6,gü6,遽göi6,gi3,,
避,bei6,bi6,避bei6,pi4,,
邀,yiu1,yiu1,邀yiu1,yau1,,
邁,mai6,mai6,邁mai6,mai4,,
邂,hai5,hai1,邂hai5,hai4,,
邃,söi6,söi6,邃söi6,sui4,,
還,wan4,wæng4,還wan4,han2,,~有
還,wan4,wæng4,還wan4,van2,,~錢
還,wan4,wæng4,還wan4,fan2,,~魂
邅,zin1,zing1,邅zin1,zien1,,
邇,nei5,ni1,邇nei5,li3,,
邈,miu5,miu1 ,邈miu5,miau3,,
邊,bin1,bing1,邊bin1,bien1,,
邋,lip6,lip6,邋lip6,liap6,,
邏,lo4,lo4,邏lo4,lo3,,
邐,läi6,läi6,邐läi6,li4,,
邑,yäp1,yäp2,邑yäp1,yip5,,
邔,gei2,gi2,邔gei2,ki3,,
邕,yung1,yung1,邕yung1,yung1,,
邘,yü4,yü4,邘yü4,yi2,,
邙,mong4,mong4,邙mong4,mong2,,
邛,kung4,kung4,邛kung4,kiung2,,
邠,bän1,bäng1,邠bän1,bin1,,
邡,fong1,fong1,邡fong1,fong1,,
邢,ying4,yäng4,邢ying4,hin2,,
那,na5,na1,那na5,la3,,
邦,bong1,bong1,邦bong1,bong1,,
邪,ce4,ce4,邪ce4,sia2,,
邯,häm4,häm4,邯häm4,ham2,,(人名)
邯,hon4,fung4,邯hon4,hon2,,~鄲
邰,toi4,töi4,邰toi4,toi2,,
邱,yäu1,yäu1,邱yäu1,hiu1,,
邲,bit1,bik2,邲bit1,bit5,,
邳,pei1,pi1,邳pei1,pi1,,
邴,bing2,bäng2,邴bing2,biang3,,
邵,siu6,siu6,邵siu6,zau4,,
邶,bui6,bui6,邶bui6,pui4,,
邸,däi2,däi2,邸däi2,di3,,
邽,gwäi1,gwäi1,邽gwäi1,gui1,,
邾,zü1,zü1,邾zü1,zu1,,
邿,si1,si1,邿si1,si1,,
郁,yuk1,yuk2,郁yuk1,yuk5,,
郃,häp6,häp6,郃häp6,hap6,,
郅,zät6,zäk6,郅zät6,zit5,,
郇,sön4,säng4,郇sön4,sun2,,
郈,häu6,häu6,郈häu6,hiu4,,
郊,gau1,gau1,郊gau1,gau1,,
郎,long4,long4,郎long4,long2,,
郔,yin4,ying4,郔yin4,yen2,,
郕,sing4,säng4,郕sing4,sin2,,
郚,ng4,ng4,郚ng4,ng2,,
郛,fu1,fu1,郛fu1,fu1,,
郜,gou3,gäu1,郜gou3,gau4,,
郝,kok3,kok2,郝kok3,kok5,,
郟,gap3,gap2,郟gap3,giap5,,
郡,gwän6,gwäng6,郡gwän6,kiun4,,
郢,cing2,cäng2,郢cing2,cin3,,
郤,gwik1,gwäk2,郤gwik1,hit5,,
部,bou6,bu6,部bou6,pu4,,
郪,cäi1,cäi1,郪cäi1,ci1,,
郫,pei4,pi4,郫pei4,pi2,,
郭,gwok3,gwok2,郭gwok3,gok5,,
郯,tam4,tam4,郯tam4,tam2,,
郰,zäu1,zäu1,郰zäu1,ziu1,,
郱,ping4,päng4,郱ping4,pin2,,
郲,loi4,löi4,郲loi4,loi2,,
郳,yi4,yi4,郳yi4,ngi2,,
郴,säm1,säm1,郴säm1,cim1,,
郵,yäu4,yäu4,郵yäu4,yiu2,,
都,dou1,du1,都dou1,du1,,
郾,yin6,ying6,郾yin6,yen3,,
郿,mei4,mi4,郿mei4,mi2,,
鄀,yök6,yök6,鄀yök6,yok6,,
鄂,ngok6,ngok6,鄂ngok6,ngok6,,
鄃,yü4,yü4,鄃yü4,yi1,,
鄄,gün3,güng1,鄄gün3,gien4,,
鄅,yü5,yü1,鄅yü5,yi3,,
鄆,wän6,wäng6,鄆wän6,yun4,,
鄇,häu4,häu4,鄇häu4,hiu2,,
鄉,höng1,höng1,鄉höng1,hiong1,,
鄋,säu1,säu1,鄋säu1,siu1,,
鄎,sik1,säk2,鄎sik1,sit5,,
鄐,cuk1,cuk2,鄐cuk1,hiuk5,,
鄑,zi1,zi1,鄑zi1,zi1,,
鄒,zäu1,zäu1,鄒zäu1,ziu1,,
鄔,wu1,wu1,鄔wu1,vu1,,
鄖,yün4,yüng4,鄖yün4,yun2,,
鄘,yung4,yung4,鄘yung4,yung2,,
鄙,pei2,pi2,鄙pei2,pi3,,
鄚,mok6,mok6,鄚mok6,mok5,,
鄜,fu1,fu1,鄜fu1,fu1,,
鄝,liu5,liu1,鄝liu5,liau3,,
鄞,ngän4,ngäng4,鄞ngän4,ngiun2,,
鄟,zün1,züng1,鄟zün1,zon1,,
鄢,yin1,ying1,鄢yin1,yen1,,
鄣,zöng1,zöng1,鄣zöng1,zong1,,
鄤,man6,mæng6,鄤man6,man4,,
鄧,däng6,däng6,鄧däng6,ten4,,
鄩,cäm4,cäm4,鄩cäm4,cim2,,
鄭,zeng6,zäng6,鄭zeng6,cang4,,
鄮,mäu6,mäu6,鄮mäu6,miu3,,
鄰,lön4,läng4,鄰lön4,lin2,,
鄱,po4,po4,鄱po4,po2,,
鄲,dan1,dæng1,鄲dan1,dan1,,
鄳,mang5,mæng1,鄳mang5,mang2,,
鄴,yip6,yip6,鄴yip6,ngiap6,,
鄵,cou3,cäu1,鄵cou3,cau4,,
鄶,kwui2,kwui2,鄶kwui2,kai4,,
鄹,zäu1,zäu1,鄹zäu1,ziu1,,
鄺,kwong3,kwong1,鄺kwong3,gong3,,
鄾,yäu1,yäu1,鄾yäu1,yiu2,,
酅,kwäi4,kwäi4,酅kwäi4,hi1,,
酆,fung1,fung1,酆fung1,fung1,,
酇,zan3,zæng1,酇zan3,zan4,,
酈,lik6,läk6,酈lik6,lit6,,
酉,yäu5,yäu1,酉yäu5,yiu1,,
酊,ding2,däng2,酊ding2,dang1,,
酋,yäu4,yäu4,酋yäu4,yiu2,,
酌,zök3,zök2,酌zök3,zok5,,
配,pui3,pui1,配pui3,pui4,,
酎,zäu6,zäu6,酎zäu6,ciu4,,
酏,yi4,yi4,酏yi4,yi2,,
酒,zäu2,zäu2,酒zäu2,ziu3,,
酕,mou4,mäu4,酕mou4,mau2,,
酖,dam1,dam1,酖dam1,dam1,,
酗,yü3,yü1,酗yü3,hi4,,
酘,täu4,täu4,酘täu4,tiu2,,
酡,to4,to4,酡to4,to2,,
酢,zok6,zok6,酢zok6,cok6,,
酣,tim4,tim4,酣tim4,tiam2,,
酤,gwu1,gwu1,酤gwu1,gu1,,
酥,sou1,su1,酥sou1,su1,,
酩,ming5,ming1,酩ming5,min3,,
酪,lok3,lok6,酪lok3,lok5,,
酬,cäu4,cäu4,酬cäu4,ciu2,,
酲,cän4,cäng4,酲cän4,cin2,,
酳,yän6,yäng6,酳yän6,yin3,,
酴,tou4,tu4,酴tou4,tu2,,
酵,gau3,gau1,酵gau3,gau4,,
酷,huk6,häu6,酷huk6,kuk6,,
酸,sün1,süng1,酸sün1,son1,,
酹,lüt3,lük2,酹lüt3,lot5,,
酺,pou4,pu4,酺pou4,pu2,,
醁,luk6,luk6,醁luk6,luk6,,
醃,yim1,yim1,醃yim1,yam1,,
醄,tou4,täu4,醄tou4,tau2,,
醅,pui4,pui4,醅pui4,pui2,,
醆,zan2,zæng2,醆zan2,zan3,,
醇,sön4,säng4,醇sön4,sun2,,
醉,zöi3,zöi1,醉zöi3,zui4,,
醊,züt3,zük2,醊züt3,zot5,,
醋,cou3,cu1,醋cou3,cu4,,
醍,täi4,täi4,醍täi4,ti2,,
醐,wu4,wu4,醐wu4,fu2,,
醑,söi1,sü1,醑söi1,si1,,
醒,seng2,seng2,醒seng2,siang3,,"~來, ~醒"
醒,sing2,säng2,醒sing2,siang3,,~目
醓,tam2,tam2,醓tam2,tam3,,
醜,cäu2,cäu2,醜cäu2,ciu3,,
醞,wän5,wäng1,醞wän5,vun4,,
醟,wing6,wäng6,醟wing6,yun3,,
醡,za3,za1,醡za3,za4,,
醢,hoi2,fui2,醢hoi2,hoi3,,
醣,tong4,tong4,醣tong4,tong2,,
醥,piu5,piu1,醥piu5,piau4,,
醨,lei4,li4,醨lei4,li2,,
醪,lou4,läu4,醪lou4,lau2,,
醫,yi1,yi1,醫yi1,yi1,,
醬,zöng3,zöng1,醬zöng3,ziong4,,
醭,buk6,buk6,醭buk6,puk5,,
醮,ziu3,ziu1,醮ziu3,ziau4,,
醯,hei1,hi1,醯hei1,hi1,,
醰,tam4,tam4,醰tam4,tam2,,
醱,put3,puk2,醱put3,pat5,,
醲,nung4,nung4,醲nung4,ngiung2,,
醴,läi5,läi1,醴läi5,ti3,,
醵,göi6,gü6,醵göi6,gi4,,
醹,yü4,yü4,醹yü4,yi2,,
醺,fän1,fäng1,醺fän1,hiun1,,
醾,mei4,mi4,醾mei4,mi2,,
釀,yöng6,yöng6,釀yöng6,ngiong4,,
釁,yän6,yäng6,釁yän6,hin4,,
釂,ziu3,ziu1,釂ziu3,ziau4,,
釃,si1,si1,釃si1,si1,,
釅,yim4,yim4,釅yim4,ngiam2,,
釆,bin6,bing6,釆bin6,pien4,,
采,coi2,cöi2,采coi2,cai3,,
釉,yäu6,yäu6,釉yäu6,yiu4,,
釋,sik1,säk2,釋sik1,sit5,,
里,lei5,li1,里lei5,li1,,
重,cung4,cung4,重cung4,cung2,,~陽
重,cung5,cung1 ,重cung5,cung1,,~量
重,zung6,zung6,重zung6,cung4,,~視
野,ye5,ye1,野ye5,ya1,,~雞
野,ye5,ye1,野ye5,ya3,,"田~, ~心"
量,löng4,löng4,量löng4,liong2,,"~米, 商~"
量,löng6,löng6,量löng6,liong4,,"力~, ~力而為"
釐,lei4,li4,釐lei4,li2,,
金,gäm1,gäm1,金gäm1,gim1,,
釗,ciu1,ciu1,釗ciu1,zau1,,
釘,deng1,däng1,釘deng1,dang1,,鐵~
釘,ding1,däng1 ,釘ding1,dang1,,~子戶
釜,fu2,fu2,釜fu2,fu3,,
針,zäm1,zäm1,針zäm1,zim1,,
釣,diu3,diu1,釣diu3,diau4,,
釤,cam3,cam1,釤cam3,cam4,,
釦,käu3,käu1,釦käu3,kiu4,,
釧,cün3,cüng1,釧cün3,con4,,
釫,wu1,wu1,釫wu1,vu1,,
釬,hon6,fung6,釬hon6,hon4,,
釭,gong1,gong1,釭gong1,gong1,,(油燈)
釭,gung1,gung1,釭gung1,gung1,,(鐵圈)
釱,dai6,dai6,釱dai6,ti4,,
釴,yik6,yäk6,釴yik6,yit6,,
釵,cai1,cai1,釵cai1,cai1,,
