char,canton,waitau,searchkey,hakka1,hakka2,Notes
傃,sou3,su1,傃sou3,su4,,
傅,fu6,fu6,傅fu6,fu4,,
傍,bong6,bong6,傍bong6,pong4,,
傍,pong4,pong4,傍pong4,pong2,,
傑,git6,gik6,傑git6,kiet6,,
傒,häi4,häi4,傒häi4,hi1,,
傔,him3,him1,傔him3,kiam4,,
傕,gok3,gok2,傕gok3,gok5,,
傖,cong1,cong1,傖cong1,cong1,,
傘,san3,sæng1,傘san3,san4,,
備,bei6,bi6,備bei6,pi4,,
傚,hau6,hau6,傚hau6,hau4,,
傛,yung4,yung4,傛yung4,yung2,,
傜,yiu4,yiu4,傜yiu4,yau2,,
傝,tap3,tap2,傝tap3,tap5,,
傞,so1,so1,傞so1,so1,,
傢,ga1,ga1,傢ga1,ga1,,
催,cöi1,cöi1,催cöi1,cui1,,
傭,yung4,yung4,傭yung4,yung2,,
傮,zou1,zäu1,傮zou1,zau1,,
傯,zung2,zung2,傯zung2,zung3,,
傲,ngou6,ngäu6,傲ngou6,ngau4,,
傳,cün4,cüng4 ,傳cün4,con2,,傳播
傳,zün6,züng6,傳zün6,con4,,傳記
傴,köi1,kü1,傴köi1,ki1,,
債,zai3,zai1,債zai3,zai4,,
傷,söng1,söng1,傷söng1,song1,,
傸,song2,song2,傸song2,song3,,
傻,so4,so4,傻so4,so2,,
傽,zöng1,zöng1,傽zöng1,zong1,,
傾,king1,käng1,傾king1,kin1,,
傿,yin1,ying1,傿yin1,yen1,,
僁,sik1,säk2,僁sik1,sit5,,
僂,läu4,läu4,僂läu4,liu2,,
僄,piu3,piu1,僄piu3,piau4,,
僅,gän2,gäng2,僅gän2,giun3,,
僆,lin4,ling4,僆lin4,lien2,,
僈,man6,mæng6,僈man6,man4,,
僉,cim1,cim1,僉cim1,ciam1,,
僊,sin1,sing1,僊sin1,sien1,,
僋,tam3,tam1,僋tam3,tam4,,
僎,zan6,zæng6,僎zan6,con3,,
像,zöng6,zöng6,像zöng6,ciong4,,(相似)
像,zöng6,zöng6,像zöng6,siong4,,"雕~, ~素"
僑,kiu4,kiu4,僑kiu4,kiau2,,
僔,zön2,zäng2,僔zön2,zun3,,
僕,buk6,buk6,僕buk6,puk6,,
僖,hei2,hi2,僖hei2,hi3,,
僚,liu4,liu4,僚liu4,liau2,,
僛,hei1,hi1,僛hei1,ki1,,
僝,can4,cæng4,僝can4,can2,,
僣,tit3,tik2,僣tit3,tiet5,,
僤,dan6,dæng6,僤dan6,tan4,,
僥,hiu1,hiu1,僥hiu1,hiau1,,
僦,zäu6,zäu6,僦zäu6,ciu4,,
僧,zäng1,zäng1,僧zäng1,sen1,,
僨,fän5,fäng1,僨fän5,fun3,,
僩,han2,hæng2,僩han2,han3,,
僬,ziu1,ziu1,僬ziu1,ziau1,,
僭,zim3,zim1,僭zim3,ziam4,,
僮,tung4,tung4,僮tung4,tung2,,書~
僮,zong6,zong6,僮zong6,cong4,,~族(改成)
僯,lön5,läng1,僯lön5,lin1,,
僰,bak6,bæk6,僰bak6,pet6,,
僱,gwu3,gwu1,僱gwu3,gu4,,
