Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
56_Hakka_1,56,山前,Front of mountain,Hakka_1,嶺腳下,liaŋ13>35tsʰiɛn11,liang1 cien2 ,有問題,嶺前 Character =/= IPA & ROM
57_Hakka_1,57,山後,Back of mountain,Hakka_1,嶺背後,liaŋ13pɔi53hɛu13,liang1 boi4 heu1 ,OK,
58_Hakka_1,58,海,Sea,Hakka_1,海,hɔi31,hoi3 ,OK,
59_Hakka_1,59,江,River (dischargingintothesea),Hakka_1,河,hɔ11,ho2 ,唔肯定,客家話冇江？
60_Hakka_1,60,湖,Lake,Hakka_1,湖,fu11,fu2 ,OK,
61_Hakka_1,61,河,River,Hakka_1,河,hɔ11,ho2 ,OK,
62_Hakka_1,62,河岸,Riverside,Hakka_1,河邊,hɔ11piɛn13,ho2 bien1 ,OK,
63_Hakka_1,63,河堤(沿河築),River bank,Hakka_1,河壆,hɔ11pɔk31,ho2 bok5 ,OK,
64_Hakka_1,64,河壩(攔河築),Dam,Hakka_1,陂頭,pi13>35tʰɛu11,bi1 teu2 ,OK,
65_Hakka_1,65,沙灘,Beach,Hakka_1,沙壩,sa13pa53,sa1 ba4 ,OK,
66_Hakka_1,66,小溪,Stream,Hakka_1,坑瀝,haŋ13>35lak31,hang1 lak5 ,OK,
67_Hakka_1,67,水渠,Trench,Hakka_1,圳,tsun53,zun4 ,OK,
68_Hakka_1,68,池塘,Pond,Hakka_1,塘,tʰɔŋ11,tong2 ,OK,
69_Hakka_1,69,水坑,Sump Puddle,Hakka_1,湖氹,fu11tʰɛm11,fu2 tem2 ,OK,
70_Hakka_1,70,平地,"Flatland, plain",Hakka_1,平地,pʰiaŋ11tʰi53,piang2 ti4 ,OK,
71_Hakka_1,71,石頭,Stone,Hakka_1,石牯,sak53tʰɛu11,sak6 teu2 ,有問題,石頭 character =/= IPA & ROM
72_Hakka_1,72,鵝卵石,Cobble stone Pebble,Hakka_1,鵝卵石,ŋɔ111ɔn31sak53,ngo2 1on3 sak6 ,OK,
73_Hakka_1,73,沙子,Sand,Hakka_1,沙公,sa13kuŋ13,sa1 gung1 ,OK,
74_Hakka_1,74,土(乾、半乾),Soil,Hakka_1,泥,lai11,lai2 ,OK,
75_Hakka_1,75,泥(稀；爛),Mud,Hakka_1,爛泥,lan53>55lai11,lan4 lai2 ,OK,
76_Hakka_1,76,灰塵,Dust,Hakka_1,泥塵,lai11tsʰin11,lai2 cin2 ,OK,
77_Hakka_1,77,垃圾,Rubbish,Hakka_1,垃圾,lɔt31sɔt31,lot5 sot5 ,OK,
78_Hakka_1,78,鐵銹,Rust,Hakka_1,魯,lu13,lu1 ,OK,
78_Hakka_2,78,鐵銹,Rust,Hakka_2,銹,siɔ53,sio4 ,OK,
79_Hakka_1,79,刨花兒,Wood shavings,Hakka_1,木絲,muk31si13,muk5 si1 ,OK,
79_Hakka_2,79,刨花兒,Wood shavings,Hakka_2,刨茸,pʰau11juŋ11,pau2 yung2 ,OK,
80_Hakka_1,80,粉(粉狀物),Powder,Hakka_1,粉,fun31,fun3 ,OK,
81_Hakka_1,81,末兒,Crumb,Hakka_1,碎,sui53,sui4 ,OK,
82_Hakka_1,82,(墻上的)硝,Saltpetre,Hakka_1,硝,siau13,siau1 ,OK,
83_Hakka_1,83,石灰,Lime,Hakka_1,石灰,sak53fɔi13,sak6 foi1 ,OK,
84_Hakka_1,84,水泥,Concrete,Hakka_1,紅毛泥,fuŋ11mau13>35lai11,fung2 mau1 lai2 ,OK,
85_Hakka_1,85,玻璃,Glass,Hakka_1,玻璃,pɔ13li13,bo1 li1 ,OK,
86_Hakka_1,86,漆,Paint(n.),Hakka_1,油漆,jiu11tsʰit31,yiu2 cit5 ,OK,
87_Hakka_1,87,磁石,Magnet,Hakka_1,磁挾,tsʰi11hiap53,ci2 hiap6 ,OK,
88_Hakka_1,88,金子,Gold,Hakka_1,金,kim13,gim1 ,OK,
89_Hakka_1,89,銀子,Silver,Hakka_1,銀,ȵiun11,ngiun2 ,OK,
90_Hakka_1,90,銅,Copper,Hakka_1,銅,tʰuŋ11,tung2 ,OK,
91_Hakka_1,91,鐵,Iron,Hakka_1,鐵,tiɛt31,diet5 ,OK,
92_Hakka_1,92,錫,Tin,Hakka_1,錫,siak31,siak5 ,OK,
93_Hakka_1,93,鋁,Aluminium,Hakka_1,銻,li13,li1 ,唔肯定,銻？
94_Hakka_1,94,冷水,Cold water,Hakka_1,冷水,laŋ13>35sui31,lang1 sui3 ,OK,
95_Hakka_1,95,溫水,Warm water,Hakka_1,拿暖水,la11lɔn13>35sui31,la2 lon1 sui3 ,OK,
96_Hakka_1,96,熱水,Hot water,Hakka_1,燒水,sau13>35sui31,sau1 sui3 ,OK,
97_Hakka_1,97,沸水,Boiled water,Hakka_1,沸水,pui53>55sui31,bui4 sui3 ,OK,
98_Hakka_1,98,(水)開了,(water) Boiling,Hakka_1,沸嗨,pui53hɔi13,bui4 hoi1 ,OK,
99_Hakka_1,99,泔水,Hogwash,Hakka_1,洗米水,sɛ31mi31sui31,se3 mi3 sui3 ,OK,
100_Hakka_1,100,城裏,City,Hakka_1,街肚,kai13>35tu31,gai1 du3 ,OK,
101_Hakka_1,101,鄉下,Countryside,Hakka_1,農村裡,luŋ11tsʰun13li13,lung2 cun1 li1 ,OK,
102_Hakka_1,102,村子,Village,Hakka_1,村,tsʰun13,cun1 ,OK,
103_Hakka_1,103,巷子,Lane,Hakka_1,巷,hɔŋ53,hong4 ,OK,
104_Hakka_1,104,路,Road,Hakka_1,路,lu53,lu4 ,OK,
105_Hakka_1,105,東西,Things,Hakka_1,東西,tuŋ13si13,dung1 si1 ,OK,
106_Hakka_1,106,顏色,Colour,Hakka_1,色,sɛt31,set5 ,OK,
107_Hakka_1,107,聲音,Voice,Hakka_1,聲,saŋ13,sang1 ,OK,
108_Hakka_1,108,氣味,Smell,Hakka_1,味,mui53,mui4 ,OK,
109_Hakka_1,109,味道,Flavour,Hakka_1,味,mui53,mui4 ,OK,
110_Hakka_1,110,光亮,Bright,Hakka_1,光,kɔŋ13,gong1 ,OK,
111_Hakka_1,111,影子,Shadow,Hakka_1,影,jaŋ31,yang3 ,OK,
112_Hakka_1,112,風景,Landscape,Hakka_1,風景,fuŋ13>35kin31,fung1 gin3 ,OK,
113_Hakka_1,113,前面,In frontof,Hakka_1,臉前,ȵiam53>55tsʰiɛn11,ngiam4 cien2 ,OK,
114_Hakka_1,114,後面,Behind,Hakka_1,背後,pɔi53hɛu13,boi4 heu1 ,OK,
115_Hakka_1,115,左邊,Left side,Hakka_1,左手析,tsɔ31siu31piɛn13,zo3 siu3 bien1 ,OK,
116_Hakka_1,116,右邊,Right side,Hakka_1,右手析,jiu53>55siu31piɛn13,yiu4 siu3 bien1 ,OK,
117_Hakka_1,117,上面,Above,Hakka_1,上高,sɔŋ53kau13,song4 gau1 ,OK,
118_Hakka_1,118,下面,Underside Beneath,Hakka_1,下背,ha13pɔi53,ha1 boi4 ,OK,
118_Hakka_2,118,下面,Underside Beneath,Hakka_2,腳下,kiɔk31ha13,giok5 ha1 ,OK,
119_Hakka_1,119,裏面,Inside,Hakka_1,裏背,ti13pɔi53,di1 boi4 ,OK,
120_Hakka_1,120,外面,Outside,Hakka_1,門背,mun11pɔi53,mun2 boi4 ,OK,
121_Hakka_1,121,(屋)頂上,On topof,Hakka_1,頂高,taŋ31kau13,dang3 gau1 ,OK,
122_Hakka_1,122,(床)底下,Underneath,Hakka_1,腳下,kiɔk31ha53,giok5 ha4 ,OK,
123_Hakka_1,123,中間,Middle,Hakka_1,中間,tsuŋ13kan13,zung1 gan1 ,OK,
123_Hakka_2,123,中間,Middle,Hakka_2,棟心,tuŋ53kan13,dung4 gan1 ,有問題,棟間 character =/= IPA & ROM
124_Hakka_1,124,旁邊,Next to Beside,Hakka_1,側邊,tsɛt31piɛn13,zet5 bien1 ,OK,
125_Hakka_1,125,對面,Opposite,Hakka_1,對面,tui53min53,dui4 min4 ,OK,
126_Hakka_1,126,附近,Nearby,Hakka_1,附近,fu53kʰiun53,fu4 kiun4 ,OK,
127_Hakka_1,127,隔壁,Next door,Hakka_1,隔籬,kak31li11,gak5 li2 ,OK,
128_Hakka_1,128,鄰居,Neighbour,Hakka_1,鄰舍,lin11sa53,lin2 sa4 ,OK,
128_Hakka_2,128,鄰居,Neighbour,Hakka_2,隔離鄰舍,kak31li11lin11sa53,gak5 li2 lin2 sa4 ,OK,
129_Hakka_1,129,今年,This year,Hakka_1,今年,kim13>35ȵiɛn11,gim1 ngien2 ,OK,
130_Hakka_1,130,去年,Last year,Hakka_1,舊年,kʰiu53>55ȵiɛn11,kiu4 ngien2 ,OK,
131_Hakka_1,131,前年,The year before last year,Hakka_1,前年,tsʰiɛn11ȵiɛn11,cien2 ngien2 ,OK,
132_Hakka_1,132,大前年,Two years before last year,Hakka_1,大前年,tʰai53>55tsʰiɛn11ȵiɛn11,tai4 cien2 ngien2 ,OK,
133_Hakka_1,133,明年,Next year,Hakka_1,出嗨年,tsʰut31ȵiɛn11,cut5 ngien2 ,有問題,出年 character =/= IPA & ROM
134_Hakka_1,134,後年,The year after next year,Hakka_1,後年,hɛu53>55ȵiɛn11,heu4 ngien2 ,OK,
135_Hakka_1,135,大後年,Two years after next year,Hakka_1,大後年,tʰai53hɛu53>55ȵiɛn11,tai4 heu4 ngien2 ,OK,
