Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
744_Hakka_1,744,鞋,Shoes,Hakka_1,鞋,hai11,hai2 ,OK,
745_Hakka_1,745,拖鞋,Slippers,Hakka_1,拖鞋,tʰɔ13>35hai31,to1 hai3 ,OK,
746_Hakka_1,746,木拖鞋,Clogs,Hakka_1,屐,kʰiak53,kiak6 ,OK,
747_Hakka_1,747,雨鞋,Rain boots,Hakka_1,水鞋,sui31hai11,sui3 hai2 ,OK,
748_Hakka_1,748,鞋墊兒,Insole,Hakka_1,鞋底,hai11tai31,hai2 dai3 ,OK,
749_Hakka_1,749,靴子,Boots,Hakka_1,靴,hiɔ13,hio1 ,OK,
750_Hakka_1,750,襪子,Socks,Hakka_1,襪,mat31,mat5 ,OK,
751_Hakka_1,751,手套,Gloves,Hakka_1,手襪,siu31mat31,siu3 mat5 ,OK,
752_Hakka_1,752,手絹兒,Handkerchief,Hakka_1,手巾仔,siu31kin13>35tsai31,siu3 gin1 zai3 ,OK,
753_Hakka_1,753,(繩)結兒,Knot,Hakka_1,結,kit31,git5 ,OK,
754_Hakka_1,754,圍巾,Scarf,Hakka_1,頸巾,kiaŋ31kin13,giang3 gin1 ,OK,
755_Hakka_1,755,圍嘴兒,Pinafore,Hakka_1,口水枷,hɛu31sui31ka13,heu3 sui3 ga1 ,OK,
756_Hakka_1,756,圍裙(做活兒用圍布),Apron,Hakka_1,圍裙,vui11sin13,vui2 sin1 ,OK,
757_Hakka_1,757,兜肚,An undergarmenttocoverchestandabdomen,Hakka_1,肚搭,tu31tap31,du3 dap5 ,OK,
758_Hakka_1,758,尿布,Diaper,Hakka_1,尿片,ȵiau53pʰiɛn53,ngiau4 pien4 ,OK,
759_Hakka_1,759,熨斗,Iron,Hakka_1,燙斗,tʰɔŋ53>55tɛu31,tong4 deu3 ,OK,
760_Hakka_1,760,餓(了),Hungry,Hakka_1,肚胈餓,ŋɔ53,ngo4 ,有問題,餓 character =/= IPA & ROM
761_Hakka_1,761,米飯,Rice(cooked),Hakka_1,飯,fan53,fan4 ,OK,
762_Hakka_1,762,麵粉,Flour,Hakka_1,麵粉,miɛn53>55fun31,mien4 fun3 ,OK,
763_Hakka_1,763,面條,Noodle,Hakka_1,麵,miɛn53,mien4 ,OK,
764_Hakka_1,764,糠,Bran,Hakka_1,糠,hɔŋ13,hong1 ,OK,
765_Hakka_1,765,剩飯,Riceleft over,Hakka_1,舊飯,kʰiu53fan53,kiu4 fan4 ,OK,
766_Hakka_1,766,(飯)餿(了),(Rice)Turning sour,Hakka_1,餿,sɛu13,seu1 ,OK,
767_Hakka_1,767,剩(了飯),(thefood)left,Hakka_1,盈,jin53,yin4 ,OK,
768_Hakka_1,768,米湯,Ricesoup,Hakka_1,粥飲,tsuk31jim31,zuk5 yim3 ,OK,
769_Hakka_1,769,粥,Congee,Hakka_1,粥,tsuk31,zuk5 ,OK,
770_Hakka_1,770,鍋巴,Ricecrust,Hakka_1,飯癩,fan53>55lat31,fan4 lat5 ,OK,
771_Hakka_1,771,吃飯,Eat,Hakka_1,食飯,sit53fan53,sit6 fan4 ,OK,
772_Hakka_1,772,口渴,Thirsty,Hakka_1,渴,hɔt31,hot5 ,OK,
773_Hakka_1,773,喝(水),Drink,Hakka_1,食茶,sit53tsʰa11,sit6 ca2 ,OK,
774_Hakka_1,774,喝酒,Drink wine,Hakka_1,食酒,sit53tsiu31,sit6 ziu3 ,OK,
775_Hakka_1,775,米酒,Rice wine,Hakka_1,米酒,mi31tsiu31,mi3 ziu3 ,OK,
776_Hakka_1,776,白酒,Spirit,Hakka_1,燒酒,pʰak53tsiu31,pak6 ziu3 ,有問題, 白酒 character =/= IPA & ROM
777_Hakka_1,777,黃酒,Yellowricewine,Hakka_1,黃酒,vɔŋ11tsiu31,vong2 ziu3 ,OK,
778_Hakka_1,778,酒釀(糯米酒),Spiritbrewedbystickyrice,Hakka_1,糯米酒,lɔ53>55mi31tsiu31,lo4 mi3 ziu3 ,OK,
779_Hakka_1,779,米酒汁,Ricewinejuice,Hakka_1,酒娘,tsiu31ȵiɔŋ11,ziu3 ngiong2 ,OK,
780_Hakka_1,780,米酒渣,Ricewinegrains,Hakka_1,糟嫲,tsau13>35ma11,zau1 ma2 ,OK,
781_Hakka_1,781,茶(茶液),Tea,Hakka_1,茶葉茶,tsʰa11jap53tsʰa11,ca2 yap6 ca2 ,OK,
782_Hakka_1,782,香煙,Cigarette,Hakka_1,煙仔,jɛn13>35tsai31,yen1 zai3 ,OK,
783_Hakka_1,783,抽煙,Smoke,Hakka_1,食煙,sit53jɛn13,sit6 yen1 ,OK,
784_Hakka_1,784,煙灰,Cigaretteash,Hakka_1,煙灰,jɛn13fɔi13,yen1 foi1 ,OK,
785_Hakka_1,785,早飯,Breakfast,Hakka_1,朝,tsau13,zau1 ,OK,
